U xi T_e I1 I2 I3
1.390434e+03 1.229664e+05 1.000000e+04 4.76e-15 5.53e-07 1.00e+00
2.141167e+03 1.893593e+05 1.000000e+04 2.01e-15 3.59e-07 1.00e+00
3.297239e+03 2.915994e+05 1.000000e+04 8.46e-16 2.33e-07 1.00e+00
5.077506e+03 4.490417e+05 1.000000e+04 3.57e-16 1.51e-07 1.00e+00
7.818986e+03 6.914912e+05 1.000000e+04 1.51e-16 9.83e-08 1.00e+00
1.204066e+04 1.064846e+06 1.000000e+04 6.35e-17 6.38e-08 1.00e+00
1.854174e+04 1.639784e+06 1.000000e+04 2.68e-17 4.14e-08 1.00e+00
2.855291e+04 2.525147e+06 1.000000e+04 1.13e-17 2.69e-08 1.00e+00
4.396939e+04 3.888541e+06 1.000000e+04 4.76e-18 1.75e-08 1.00e+00
6.770963e+04 5.988067e+06 1.000000e+04 2.01e-18 1.13e-08 1.00e+00
1.042679e+05 9.221183e+06 1.000000e+04 8.46e-19 7.37e-09 1.00e+00
