U xi T_e I1 I2 I3 I4 I5 I6 I7
1.204066e-02 1.064846e+00 1.000000e+04 5.61e-07 1.96e-03 1.09e-01 2.70e-01 5.58e-01 5.97e-02 1.16e-03
1.854174e-02 1.639784e+00 1.000000e+04 1.17e-07 6.29e-04 5.36e-02 2.05e-01 6.33e-01 1.04e-01 3.12e-03
2.855291e-02 2.525147e+00 1.000000e+04 2.23e-08 1.83e-04 2.41e-02 1.42e-01 6.60e-01 1.67e-01 7.68e-03
4.396939e-02 3.888541e+00 1.000000e+04 3.88e-09 4.91e-05 9.92e-03 8.98e-02 6.35e-01 2.47e-01 1.75e-02
6.770963e-02 5.988067e+00 1.000000e+04 6.22e-10 1.21e-05 3.77e-03 5.25e-02 5.67e-01 3.40e-01 3.70e-02
1.042679e-01 9.221183e+00 1.000000e+04 9.18e-11 2.76e-06 1.32e-03 2.83e-02 4.67e-01 4.31e-01 7.23e-02
1.605648e-01 1.419994e+01 1.000000e+04 1.24e-11 5.74e-07 4.23e-04 1.39e-02 3.54e-01 5.02e-01 1.30e-01
2.472581e-01 2.186687e+01 1.000000e+04 1.54e-12 1.09e-07 1.24e-04 6.29e-03 2.45e-01 5.36e-01 2.13e-01
3.807592e-01 3.367337e+01 1.000000e+04 1.74e-13 1.90e-08 3.32e-05 2.59e-03 1.55e-01 5.22e-01 3.20e-01
5.863412e-01 5.185452e+01 1.000000e+04 1.80e-14 3.04e-09 8.15e-06 9.81e-04 9.04e-02 4.68e-01 4.41e-01
9.029224e-01 7.985215e+01 1.000000e+04 1.76e-15 4.49e-10 1.85e-06 3.44e-04 4.87e-02 3.88e-01 5.63e-01
1.390434e+00 1.229664e+02 1.000000e+04 1.82e-16 6.21e-11 3.95e-07 1.13e-04 2.46e-02 3.02e-01 6.74e-01
2.141167e+00 1.893593e+02 1.000000e+04 4.44e-18 8.16e-12 8.00e-08 3.51e-05 1.18e-02 2.23e-01 7.65e-01
