U xi T_e total recomb ff compton DR DI lines Adiabatic
2.141167e-03 1.893593e-01 1.000000e+04 8.66e-11 5.40e-11 2.75e-11 9.81e-18 0.00e+00 5.74e-20 5.22e-12 3.09e-16
3.297239e-03 2.915994e-01 1.000000e+04 8.84e-11 5.54e-11 2.82e-11 1.51e-17 0.00e+00 5.74e-20 4.85e-12 3.09e-16
5.077506e-03 4.490417e-01 1.000000e+04 8.98e-11 5.66e-11 2.87e-11 2.33e-17 0.00e+00 5.74e-20 4.56e-12 3.09e-16
7.818986e-03 6.914912e-01 1.000000e+04 9.07e-11 5.74e-11 2.92e-11 3.58e-17 0.00e+00 5.74e-20 4.16e-12 3.09e-16
1.204066e-02 1.064846e+00 1.000000e+04 9.10e-11 5.78e-11 2.95e-11 5.52e-17 0.00e+00 5.74e-20 3.66e-12 3.09e-16
1.854174e-02 1.639784e+00 1.000000e+04 9.10e-11 5.81e-11 2.98e-11 8.50e-17 0.00e+00 5.74e-20 3.13e-12 3.09e-16
2.855291e-02 2.525147e+00 1.000000e+04 9.08e-11 5.81e-11 3.00e-11 1.31e-16 0.00e+00 5.74e-20 2.66e-12 3.09e-16
4.396939e-02 3.888541e+00 1.000000e+04 9.05e-11 5.81e-11 3.02e-11 2.02e-16 0.00e+00 5.74e-20 2.27e-12 3.09e-16
6.770963e-02 5.988067e+00 1.000000e+04 9.03e-11 5.80e-11 3.03e-11 3.10e-16 0.00e+00 5.74e-20 1.98e-12 3.09e-16
1.042679e-01 9.221183e+00 1.000000e+04 9.02e-11 5.80e-11 3.04e-11 4.78e-16 0.00e+00 5.74e-20 1.78e-12 3.09e-16
1.605648e-01 1.419994e+01 1.000000e+04 9.02e-11 5.80e-11 3.06e-11 7.36e-16 0.00e+00 5.74e-20 1.63e-12 3.09e-16
2.472581e-01 2.186687e+01 1.000000e+04 9.03e-11 5.81e-11 3.07e-11 1.13e-15 0.00e+00 5.74e-20 1.50e-12 3.09e-16
3.807592e-01 3.367337e+01 1.000000e+04 9.03e-11 5.82e-11 3.08e-11 1.75e-15 0.00e+00 5.74e-20 1.33e-12 3.09e-16
5.863412e-01 5.185452e+01 1.000000e+04 9.02e-11 5.83e-11 3.09e-11 2.69e-15 0.00e+00 5.74e-20 1.02e-12 3.09e-16
9.029224e-01 7.985215e+01 1.000000e+04 9.00e-11 5.84e-11 3.10e-11 4.14e-15 0.00e+00 5.74e-20 6.22e-13 3.09e-16
1.390434e+00 1.229664e+02 1.000000e+04 9.00e-11 5.86e-11 3.11e-11 6.37e-15 0.00e+00 5.74e-20 3.30e-13 3.09e-16
2.141167e+00 1.893593e+02 1.000000e+04 9.02e-11 5.88e-11 3.12e-11 9.81e-15 0.00e+00 5.74e-20 2.06e-13 3.09e-16
3.297239e+00 2.915994e+02 1.000000e+04 9.04e-11 5.89e-11 3.13e-11 1.51e-14 0.00e+00 5.74e-20 1.62e-13 3.09e-16
5.077506e+00 4.490417e+02 1.000000e+04 9.06e-11 5.91e-11 3.14e-11 2.33e-14 0.00e+00 5.74e-20 1.41e-13 3.09e-16
7.818986e+00 6.914912e+02 1.000000e+04 9.09e-11 5.93e-11 3.15e-11 3.58e-14 0.00e+00 5.74e-20 1.23e-13 3.09e-16
1.204066e+01 1.064846e+03 1.000000e+04 9.12e-11 5.94e-11 3.16e-11 5.52e-14 0.00e+00 5.74e-20 8.87e-14 3.09e-16
1.854174e+01 1.639784e+03 1.000000e+04 9.14e-11 5.96e-11 3.17e-11 8.50e-14 0.00e+00 5.74e-20 5.05e-14 3.09e-16
2.855291e+01 2.525147e+03 1.000000e+04 9.17e-11 5.98e-11 3.17e-11 1.31e-13 0.00e+00 5.74e-20 2.86e-14 3.09e-16
4.396939e+01 3.888541e+03 1.000000e+04 9.19e-11 5.99e-11 3.18e-11 2.02e-13 0.00e+00 5.74e-20 1.63e-14 3.09e-16
6.770963e+01 5.988067e+03 1.000000e+04 9.22e-11 6.01e-11 3.18e-11 3.10e-13 0.00e+00 5.74e-20 9.36e-15 3.09e-16
1.042679e+02 9.221183e+03 1.000000e+04 9.25e-11 6.02e-11 3.18e-11 4.78e-13 0.00e+00 5.74e-20 5.08e-15 3.09e-16
1.605648e+02 1.419994e+04 1.000000e+04 9.29e-11 6.02e-11 3.19e-11 7.36e-13 0.00e+00 5.74e-20 3.30e-15 3.09e-16
2.472581e+02 2.186687e+04 1.000000e+04 9.33e-11 6.02e-11 3.20e-11 1.13e-12 0.00e+00 5.74e-20 1.38e-15 3.09e-16
3.807592e+02 3.367337e+04 1.000000e+04 9.40e-11 6.02e-11 3.20e-11 1.75e-12 0.00e+00 5.74e-20 3.90e-16 3.09e-16
5.863412e+02 5.185452e+04 1.000000e+04 9.50e-11 6.03e-11 3.20e-11 2.69e-12 0.00e+00 5.74e-20 1.54e-18 3.09e-16
9.029224e+02 7.985215e+04 1.000000e+04 9.65e-11 6.03e-11 3.20e-11 4.14e-12 0.00e+00 5.74e-20 1.00e-18 3.09e-16
1.390434e+03 1.229664e+05 1.000000e+04 9.88e-11 6.04e-11 3.20e-11 6.37e-12 0.00e+00 5.74e-20 6.51e-19 3.09e-16
2.141167e+03 1.893593e+05 1.000000e+04 1.02e-10 6.05e-11 3.20e-11 9.81e-12 0.00e+00 5.74e-20 4.23e-19 3.09e-16
3.297239e+03 2.915994e+05 1.000000e+04 1.08e-10 6.05e-11 3.20e-11 1.51e-11 0.00e+00 5.74e-20 2.75e-19 3.09e-16
5.077506e+03 4.490417e+05 1.000000e+04 1.16e-10 6.06e-11 3.21e-11 2.33e-11 0.00e+00 5.74e-20 1.78e-19 3.09e-16
7.818986e+03 6.914912e+05 1.000000e+04 1.29e-10 6.07e-11 3.21e-11 3.58e-11 0.00e+00 5.74e-20 1.16e-19 3.09e-16
1.204066e+04 1.064846e+06 1.000000e+04 1.48e-10 6.07e-11 3.21e-11 5.52e-11 0.00e+00 5.74e-20 7.52e-20 3.09e-16
1.854174e+04 1.639784e+06 1.000000e+04 1.78e-10 6.08e-11 3.21e-11 8.50e-11 0.00e+00 5.74e-20 4.89e-20 3.09e-16
2.855291e+04 2.525147e+06 1.000000e+04 2.24e-10 6.08e-11 3.21e-11 1.31e-10 0.00e+00 5.74e-20 3.17e-20 3.09e-16
4.396939e+04 3.888541e+06 1.000000e+04 2.94e-10 6.08e-11 3.21e-11 2.02e-10 0.00e+00 5.74e-20 2.06e-20 3.09e-16
6.770963e+04 5.988067e+06 1.000000e+04 4.03e-10 6.08e-11 3.21e-11 3.10e-10 0.00e+00 5.74e-20 1.34e-20 3.09e-16
1.042679e+05 9.221183e+06 1.000000e+04 5.71e-10 6.08e-11 3.21e-11 4.78e-10 0.00e+00 5.74e-20 8.69e-21 3.09e-16
