U xi T_e total photo ff compton ind_comp lines auger
1.204066e-02 1.064846e+00 1.000000e+04 1.54e-08 1.53e-08 1.21e-16 7.09e-14 3.37e-21 0.00e+00 8.72e-11
1.854174e-02 1.639784e+00 1.000000e+04 2.37e-08 2.36e-08 1.86e-16 1.09e-13 5.19e-21 0.00e+00 1.34e-10
2.855291e-02 2.525147e+00 1.000000e+04 3.65e-08 3.63e-08 2.86e-16 1.68e-13 7.99e-21 0.00e+00 2.07e-10
4.396939e-02 3.888541e+00 1.000000e+04 5.62e-08 5.59e-08 4.41e-16 2.59e-13 1.23e-20 0.00e+00 3.18e-10
6.770963e-02 5.988067e+00 1.000000e+04 8.66e-08 8.61e-08 6.79e-16 3.99e-13 1.89e-20 0.00e+00 4.90e-10
1.042679e-01 9.221183e+00 1.000000e+04 1.33e-07 1.33e-07 1.05e-15 6.14e-13 2.92e-20 0.00e+00 7.55e-10
1.605648e-01 1.419994e+01 1.000000e+04 2.05e-07 2.04e-07 1.61e-15 9.46e-13 4.49e-20 0.00e+00 1.16e-09
2.472581e-01 2.186687e+01 1.000000e+04 3.16e-07 3.14e-07 2.48e-15 1.46e-12 6.92e-20 0.00e+00 1.79e-09
3.807592e-01 3.367337e+01 1.000000e+04 4.87e-07 4.84e-07 3.82e-15 2.24e-12 1.07e-19 0.00e+00 2.76e-09
5.863412e-01 5.185452e+01 1.000000e+04 7.50e-07 7.46e-07 5.88e-15 3.45e-12 1.64e-19 0.00e+00 4.25e-09
9.029224e-01 7.985215e+01 1.000000e+04 1.15e-06 1.15e-06 9.05e-15 5.32e-12 2.53e-19 0.00e+00 6.54e-09
1.390434e+00 1.229664e+02 1.000000e+04 1.78e-06 1.77e-06 1.39e-14 8.19e-12 3.89e-19 0.00e+00 1.01e-08
2.141167e+00 1.893593e+02 1.000000e+04 2.74e-06 2.72e-06 2.15e-14 1.26e-11 5.99e-19 0.00e+00 1.55e-08
3.297239e+00 2.915994e+02 1.000000e+04 4.22e-06 4.19e-06 3.30e-14 1.94e-11 9.23e-19 0.00e+00 2.39e-08
5.077506e+00 4.490417e+02 1.000000e+04 6.49e-06 6.46e-06 5.09e-14 2.99e-11 1.42e-18 0.00e+00 3.68e-08
7.818986e+00 6.914912e+02 1.000000e+04 1.00e-05 9.94e-06 7.84e-14 4.61e-11 2.19e-18 0.00e+00 5.66e-08
