U xi T_e I1 I2 I3 I4 I5 I6 I7 I8 I9 I10 I11 I12 I13 I14 I15 I16 I17 I18 I19 I20 I21 I22 I23 I24 I25 I26 I27
1.042679e+02 9.221183e+03 1.000000e+04 6.51e-05 7.91e-05 1.13e-04 2.80e-04 5.80e-04 1.01e-03 2.44e-03 5.89e-03 4.76e-03 5.95e-03 7.61e-03 1.00e-02 1.02e-02 9.31e-03 9.11e-03 1.99e-02 1.03e-02 3.33e-02 1.98e-01 2.63e-01 2.43e-01 5.52e-02 4.27e-02 4.40e-02 2.12e-02 1.29e-03 3.08e-05
1.605648e+02 1.419994e+04 1.000000e+04 4.23e-05 5.14e-05 7.36e-05 1.82e-04 3.77e-04 6.53e-04 1.58e-03 3.82e-03 3.08e-03 3.82e-03 4.82e-03 6.23e-03 6.53e-03 6.23e-03 6.23e-03 1.38e-02 6.50e-03 1.39e-02 8.55e-02 1.65e-01 2.29e-01 8.00e-02 9.52e-02 1.51e-01 1.05e-01 9.86e-03 3.63e-04
2.472581e+02 2.186687e+04 1.000000e+04 1.77e-05 2.15e-05 3.08e-05 7.61e-05 1.58e-04 2.73e-04 6.63e-04 1.59e-03 1.29e-03 1.59e-03 1.98e-03 2.53e-03 2.70e-03 2.65e-03 2.69e-03 6.01e-03 2.75e-03 4.37e-03 2.12e-02 5.59e-02 1.15e-01 6.15e-02 1.13e-01 2.76e-01 2.83e-01 4.08e-02 2.32e-03
3.807592e+02 3.367337e+04 1.000000e+04 4.97e-06 6.05e-06 8.65e-06 2.14e-05 4.43e-05 7.68e-05 1.86e-04 4.47e-04 3.61e-04 4.44e-04 5.52e-04 6.97e-04 7.53e-04 7.55e-04 7.72e-04 1.74e-03 7.86e-04 1.09e-03 3.55e-03 1.12e-02 3.34e-02 2.72e-02 7.66e-02 2.88e-01 4.44e-01 9.85e-02 8.61e-03
5.863412e+02 5.185452e+04 1.000000e+04 1.17e-06 1.42e-06 2.03e-06 5.03e-06 1.04e-05 1.80e-05 4.37e-05 1.05e-04 8.47e-05 1.04e-04 1.29e-04 1.61e-04 1.76e-04 1.78e-04 1.84e-04 4.15e-04 1.87e-04 2.45e-04 5.57e-04 1.77e-03 7.19e-03 8.84e-03 3.84e-02 2.23e-01 5.18e-01 1.77e-01 2.38e-02
9.029224e+02 7.985215e+04 1.000000e+04 2.53e-07 3.07e-07 4.40e-07 1.09e-06 2.25e-06 3.91e-06 9.47e-06 2.27e-05 1.83e-05 2.25e-05 2.78e-05 3.47e-05 3.79e-05 3.88e-05 4.01e-05 9.10e-05 4.09e-05 5.26e-05 9.50e-05 2.57e-04 1.31e-03 2.42e-03 1.62e-02 1.44e-01 5.10e-01 2.69e-01 5.57e-02
1.390434e+03 1.229664e+05 1.000000e+04 5.12e-08 6.22e-08 8.91e-08 2.20e-07 4.56e-07 7.91e-07 1.92e-06 4.60e-06 3.71e-06 4.55e-06 5.61e-06 6.98e-06 7.66e-06 7.88e-06 8.16e-06 1.86e-05 8.33e-06 1.06e-05 1.71e-05 3.72e-05 2.10e-04 5.76e-04 5.93e-03 8.16e-02 4.40e-01 3.57e-01 1.14e-01
2.141167e+03 1.893593e+05 1.000000e+04 9.58e-09 1.16e-08 1.67e-08 4.12e-08 8.53e-08 1.48e-07 3.59e-07 8.59e-07 6.94e-07 8.50e-07 1.05e-06 1.30e-06 1.43e-06 1.48e-06 1.53e-06 3.49e-06 1.56e-06 1.99e-06 3.04e-06 5.48e-06 3.01e-05 1.20e-04 1.91e-03 4.05e-02 3.34e-01 4.18e-01 2.05e-01
3.297239e+03 2.915994e+05 1.000000e+04 1.64e-09 1.99e-09 2.85e-09 7.05e-09 1.46e-08 2.53e-08 6.13e-08 1.47e-07 1.19e-07 1.45e-07 1.79e-07 2.22e-07 2.44e-07 2.53e-07 2.62e-07 5.98e-07 2.68e-07 3.41e-07 5.08e-07 8.10e-07 3.90e-06 2.22e-05 5.42e-04 1.77e-02 2.24e-01 4.31e-01 3.26e-01
5.077506e+03 4.490417e+05 1.000000e+04 2.55e-10 3.10e-10 4.44e-10 1.10e-09 2.27e-09 3.94e-09 9.56e-09 2.29e-08 1.85e-08 2.26e-08 2.79e-08 3.46e-08 3.80e-08 3.94e-08 4.10e-08 9.34e-08 4.18e-08 5.32e-08 7.83e-08 1.17e-07 4.63e-07 3.64e-06 1.37e-04 6.87e-03 1.34e-01 3.97e-01 4.62e-01
7.818986e+03 6.914912e+05 1.000000e+04 3.67e-11 4.46e-11 6.38e-11 1.58e-10 3.27e-10 5.67e-10 1.37e-09 3.29e-09 2.66e-09 3.25e-09 4.01e-09 4.96e-09 5.46e-09 5.67e-09 5.89e-09 1.34e-08 6.02e-09 7.65e-09 1.12e-08 1.61e-08 5.19e-08 5.41e-07 3.13e-05 2.42e-03 7.26e-02 3.31e-01 5.94e-01
1.204066e+04 1.064846e+06 1.000000e+04 4.94e-12 6.00e-12 8.59e-12 2.13e-11 4.40e-11 7.63e-11 1.85e-10 4.43e-10 3.58e-10 4.38e-10 5.39e-10 6.68e-10 7.35e-10 7.64e-10 7.94e-10 1.81e-09 8.11e-10 1.03e-09 1.50e-09 2.12e-09 5.62e-09 7.44e-08 6.64e-06 7.90e-04 3.64e-02 2.56e-01 7.07e-01
1.854174e+04 1.639784e+06 1.000000e+04 6.33e-13 7.70e-13 1.10e-12 2.73e-12 5.64e-12 9.78e-12 2.37e-11 5.68e-11 4.58e-11 5.61e-11 6.91e-11 8.56e-11 9.42e-11 9.79e-11 1.02e-10 2.32e-10 1.04e-10 1.32e-10 1.92e-10 2.70e-10 6.03e-10 9.68e-09 1.33e-06 2.44e-04 1.73e-02 1.87e-01 7.95e-01
2.855291e+04 2.525147e+06 1.000000e+04 7.84e-14 9.53e-14 1.36e-13 3.38e-13 6.98e-13 1.21e-12 2.94e-12 7.03e-12 5.68e-12 6.95e-12 8.56e-12 1.06e-11 1.17e-11 1.21e-11 1.26e-11 2.88e-11 1.29e-11 1.63e-11 2.37e-11 3.32e-11 6.50e-11 1.21e-09 2.56e-07 7.22e-05 7.89e-03 1.31e-01 8.61e-01
4.396939e+04 3.888541e+06 1.000000e+04 9.48e-15 1.15e-14 1.65e-14 4.08e-14 8.45e-14 1.46e-13 3.55e-13 8.50e-13 6.87e-13 8.40e-13 1.03e-12 1.28e-12 1.41e-12 1.47e-12 1.53e-12 3.48e-12 1.56e-12 1.98e-12 2.87e-12 4.01e-12 7.09e-12 1.47e-10 4.79e-08 2.08e-05 3.50e-03 8.99e-02 9.07e-01
6.770963e+04 5.988067e+06 1.000000e+04 1.13e-15 1.37e-15 1.96e-15 4.86e-15 1.01e-14 1.74e-14 4.23e-14 1.01e-13 8.17e-14 1.00e-13 1.23e-13 1.52e-13 1.68e-13 1.75e-13 1.82e-13 4.15e-13 1.86e-13 2.35e-13 3.41e-13 4.76e-13 7.84e-13 1.76e-11 8.82e-09 5.91e-06 1.53e-03 6.04e-02 9.38e-01
1.042679e+05 9.221183e+06 1.000000e+04 1.33e-16 1.62e-16 2.31e-16 5.72e-16 1.18e-15 2.05e-15 4.98e-15 1.19e-14 9.63e-15 1.18e-14 1.45e-14 1.80e-14 1.98e-14 2.06e-14 2.14e-14 4.88e-14 2.19e-14 2.77e-14 4.01e-14 5.61e-14 8.77e-14 2.08e-12 1.60e-09 1.65e-06 6.59e-04 4.01e-02 9.59e-01
