U xi T_e I1 I2 I3 I4 I5 I6 I7 I8 I9 I10 I11 I12 I13 I14 I15 I16 I17 I18 I19 I20 I21 I22 I23 I24 I25 I26 I27
4.396939e-08 3.888541e-06 1.000000e+04 1.16e-01 8.17e-01 6.60e-02 1.09e-03 2.77e-06 1.68e-09 3.17e-13 3.62e-18 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
6.770963e-08 5.988067e-06 1.000000e+04 1.13e-01 8.04e-01 8.14e-02 1.69e-03 5.39e-06 4.11e-09 9.73e-13 1.40e-17 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
1.042679e-07 9.221183e-06 1.000000e+04 1.10e-01 7.88e-01 9.92e-02 2.56e-03 1.02e-05 9.64e-09 2.84e-12 5.07e-17 4.06e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
1.605648e-07 1.419994e-05 1.000000e+04 1.07e-01 7.67e-01 1.22e-01 3.98e-03 2.00e-05 2.40e-08 8.94e-12 2.02e-16 2.05e-22 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
2.472581e-07 2.186687e-05 1.000000e+04 1.03e-01 7.42e-01 1.49e-01 6.14e-03 3.91e-05 5.93e-08 2.79e-11 7.98e-16 1.02e-21 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
3.807592e-07 3.367337e-05 1.000000e+04 9.76e-02 7.12e-01 1.81e-01 9.45e-03 7.61e-05 1.46e-07 8.74e-11 3.16e-15 5.14e-21 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
5.863412e-07 5.185452e-05 1.000000e+04 9.19e-02 6.78e-01 2.16e-01 1.42e-02 1.43e-04 3.47e-07 2.60e-10 1.18e-14 2.42e-20 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
9.029224e-07 7.985215e-05 1.000000e+04 8.49e-02 6.35e-01 2.58e-01 2.17e-02 2.83e-04 8.77e-07 8.45e-10 4.93e-14 1.29e-19 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
1.390434e-06 1.229664e-04 1.000000e+04 7.70e-02 5.84e-01 3.05e-01 3.31e-02 5.54e-04 2.22e-06 2.75e-09 2.07e-13 7.01e-19 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
2.141167e-06 1.893593e-04 1.000000e+04 6.81e-02 5.26e-01 3.55e-01 4.99e-02 1.09e-03 5.64e-06 9.09e-09 8.89e-13 3.90e-18 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
3.297239e-06 2.915994e-04 1.000000e+04 5.87e-02 4.61e-01 4.04e-01 7.43e-02 2.12e-03 1.44e-05 3.05e-08 3.91e-12 2.25e-17 1.58e-22 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
5.077506e-06 4.490417e-04 1.000000e+04 4.90e-02 3.90e-01 4.48e-01 1.09e-01 4.11e-03 3.71e-05 1.04e-07 1.77e-11 1.35e-16 1.26e-21 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
7.818986e-06 6.914912e-04 1.000000e+04 3.98e-02 3.17e-01 4.79e-01 1.56e-01 7.92e-03 9.60e-05 3.61e-07 8.25e-11 8.46e-16 1.06e-20 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
1.204066e-05 1.064846e-03 1.000000e+04 3.20e-02 2.48e-01 4.91e-01 2.14e-01 1.46e-02 2.38e-04 1.21e-06 3.71e-10 5.12e-15 8.63e-20 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
1.854174e-05 1.639784e-03 1.000000e+04 2.55e-02 1.82e-01 4.77e-01 2.87e-01 2.73e-02 6.18e-04 4.36e-06 1.86e-09 3.57e-14 8.37e-19 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
2.855291e-05 2.525147e-03 1.000000e+04 2.11e-02 1.27e-01 4.35e-01 3.66e-01 4.92e-02 1.58e-03 1.58e-05 9.54e-09 2.59e-13 8.59e-18 1.03e-22 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
4.396939e-05 3.888541e-03 1.000000e+04 1.85e-02 8.49e-02 3.68e-01 4.40e-01 8.49e-02 3.92e-03 5.64e-05 4.92e-08 1.92e-12 9.19e-17 1.59e-21 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
6.770963e-05 5.988067e-03 1.000000e+04 1.71e-02 5.70e-02 2.91e-01 4.90e-01 1.36e-01 9.10e-03 1.89e-04 2.38e-07 1.34e-11 9.27e-16 2.32e-20 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
