#depth	Fe 1	Fe 2	Fe 3	Fe 4	Fe 5	Fe 6	Fe 7	Fe 8	Fe 9	Fe10	Fe11	Fe12	Fe13	Fe14	Fe15	Fe16	Fe17	Fe18	Fe19	Fe20	Fe21	Fe22	Fe23	Fe24	Fe25	Fe26	Fe27
 8.04403e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 8.23963e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 8.41567e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 8.57410e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 8.71669e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 8.84502e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 8.96052e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 9.06523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 9.16523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 9.26523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 9.36523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 9.46523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 9.56523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 9.66523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 9.76523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 9.86523e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
 9.95761e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.92e-33	2.01e-28	2.47e-24	1.60e-20	2.39e-17	2.09e-14	4.70e-12	3.19e-09	2.17e-06	6.59e-04	4.17e-02	9.58e-01
