-8.1 5.00000e-02	1.0000e+04	3.5564e-13	2.5450e-11	H  1	0.8079712 	He 1	0.1655362 	H2vH	0.0113199 	O  1	0.0084200 	C  1	0.0025732 	Ne 1	0.0010029 	N  1	0.0008471 	Fe 2	0.0004491 	He 2	0.0004200  
-8.0 5.00000e-02	1.0000e+04	4.4506e-13	2.8198e-11	H  1	0.8100680 	He 1	0.1661806 	H2vH	0.0085263 	O  1	0.0083560 	C  1	0.0025604 	Ne 1	0.0009973 	N  1	0.0008469 	He 2	0.0004814 	Fe 2	0.0004537  
-7.9 5.00000e-02	1.0000e+04	5.5713e-13	3.1239e-11	H  1	0.8116024 	He 1	0.1667212 	O  1	0.0082769 	H2vH	0.0064075 	C  1	0.0025434 	Ne 1	0.0009899 	N  1	0.0008457 	He 2	0.0005509 	Fe 2	0.0004582  
-7.8 5.00000e-02	1.0000e+04	6.9746e-13	3.4602e-11	H  1	0.8127030 	He 1	0.1671849 	O  1	0.0081836 	H2vH	0.0048045 	C  1	0.0025225 	Ne 1	0.0009807 	N  1	0.0008436 	He 2	0.0006299 	Fe 2	0.0004626  
-7.7 5.00000e-02	1.0000e+04	8.7304e-13	3.8316e-11	H  1	0.8134684 	He 1	0.1675925 	O  1	0.0080768 	H2vH	0.0035947 	C  1	0.0024977 	Ne 1	0.0009699 	N  1	0.0008406 	He 2	0.0007196 	O  2	0.0005120  
-7.6 5.00000e-02	1.0000e+04	1.0925e-12	4.2412e-11	H  1	0.8139741 	He 1	0.1679602 	O  1	0.0079568 	H2vH	0.0026835 	C  1	0.0024691 	Ne 1	0.0009573 	N  1	0.0008368 	He 2	0.0008216 	O  2	0.0005693  
-7.5 5.00000e-02	1.0000e+04	1.3666e-12	4.6921e-11	H  1	0.8142766 	He 1	0.1683007 	O  1	0.0078239 	C  1	0.0024369 	H2vH	0.0019988 	Ne 1	0.0009432 	He 2	0.0009378 	N  1	0.0008321 	O  2	0.0006320  
-7.4 5.00000e-02	1.0000e+04	1.7084e-12	5.1879e-11	H  1	0.8144183 	He 1	0.1686235 	O  1	0.0076785 	C  1	0.0024009 	H2vH	0.0014852 	He 2	0.0010700 	Ne 1	0.0009274 	N  1	0.0008266 	O  2	0.0007005  
-7.3 5.00000e-02	1.0000e+04	2.1343e-12	5.7319e-11	H  1	0.8144301 	He 1	0.1689363 	O  1	0.0075207 	C  1	0.0023612 	He 2	0.0012209 	H2vH	0.0011009 	Ne 1	0.0009100 	N  1	0.0008202 	O  2	0.0007752  
-7.2 5.00000e-02	1.0000e+04	2.6642e-12	6.3275e-11	H  1	0.8143344 	He 1	0.1692447 	O  1	0.0073507 	C  1	0.0023178 	He 2	0.0013930 	Ne 1	0.0008910 	O  2	0.0008564 	H2vH	0.0008140 	N  1	0.0008129  
-7.1 5.00000e-02	1.0000e+04	3.3224e-12	6.9781e-11	H  1	0.8141462 	He 1	0.1695533 	O  1	0.0071690 	C  1	0.0022706 	He 2	0.0015896 	O  2	0.0009446 	Ne 1	0.0008704 	N  1	0.0008046 	H2vH	0.0006001  
-7.0 5.00000e-02	1.0000e+04	4.1388e-12	7.6869e-11	H  1	0.8138754 	He 1	0.1698652 	O  1	0.0069760 	C  1	0.0022199 	He 2	0.0018145 	O  2	0.0010400 	Ne 1	0.0008483 	N  1	0.0007953 	Fe 2	0.0004986  
-6.9 5.00000e-02	1.0000e+04	5.1494e-12	8.4569e-11	H  1	0.8135269 	He 1	0.1701831 	O  1	0.0067723 	C  1	0.0021656 	He 2	0.0020720 	O  2	0.0011432 	Ne 1	0.0008247 	N  1	0.0007849 	Fe 2	0.0005035  
-6.8 5.00000e-02	1.0000e+04	6.3976e-12	9.2903e-11	H  1	0.8131025 	He 1	0.1705085 	O  1	0.0065587 	He 2	0.0023672 	C  1	0.0021078 	O  2	0.0012545 	Ne 1	0.0007997 	N  1	0.0007735 	Fe 2	0.0005086  
-6.7 5.00000e-02	1.0000e+04	7.9358e-12	1.0189e-10	H  1	0.8126003 	He 1	0.1708426 	O  1	0.0063360 	He 2	0.0027062 	C  1	0.0020469 	O  2	0.0013743 	Ne 1	0.0007734 	N  1	0.0007609 	Fe 2	0.0005139  
-6.6 5.00000e-02	1.0000e+04	9.8262e-12	1.1153e-10	H  1	0.8120158 	He 1	0.1711858 	O  1	0.0061052 	He 2	0.0030960 	C  1	0.0019830 	O  2	0.0015032 	N  1	0.0007471 	Ne 1	0.0007459 	Fe 2	0.0005192  
-6.5 5.00000e-02	1.0000e+04	1.2143e-11	1.2183e-10	H  1	0.8113423 	He 1	0.1715378 	O  1	0.0058677 	He 2	0.0035449 	C  1	0.0019164 	O  2	0.0016415 	N  1	0.0007321 	Ne 1	0.0007174 	Fe 2	0.0005247  
-6.4 5.00000e-02	1.0000e+04	1.4971e-11	1.3276e-10	H  1	0.8105702 	He 1	0.1718977 	O  1	0.0056247 	He 2	0.0040630 	C  1	0.0018476 	O  2	0.0017899 	N  1	0.0007159 	Ne 1	0.0006880 	Fe 2	0.0005303  
-6.3 5.00000e-02	1.0000e+04	1.8413e-11	1.4429e-10	H  1	0.8096879 	He 1	0.1722635 	O  1	0.0053776 	He 2	0.0046619 	O  2	0.0019491 	C  1	0.0017770 	N  1	0.0006984 	Ne 1	0.0006579 	C  2	0.0005360  
-6.2 5.00000e-02	1.0000e+04	2.2582e-11	1.5634e-10	H  1	0.8086810 	He 1	0.1726325 	He 2	0.0053558 	O  1	0.0051279 	O  2	0.0021200 	C  1	0.0017049 	N  1	0.0006798 	Ne 1	0.0006272 	C  2	0.0005870  
-6.1 5.00000e-02	1.0000e+04	2.7608e-11	1.6883e-10	H  1	0.8075327 	He 1	0.1730007 	He 2	0.0061616 	O  1	0.0048772 	O  2	0.0023035 	C  1	0.0016320 	N  1	0.0006600 	C  2	0.0006427 	Ne 1	0.0005963  
-6.0 5.00000e-02	1.0000e+04	3.3636e-11	1.8163e-10	H  1	0.8062232 	He 1	0.1733626 	He 2	0.0070995 	O  1	0.0046268 	O  2	0.0025009 	C  1	0.0015587 	C  2	0.0007034 	N  1	0.0006390 	Ne 1	0.0005651  
-5.9 5.00000e-02	1.0000e+04	4.0822e-11	1.9460e-10	H  1	0.8047292 	He 1	0.1737107 	He 2	0.0081942 	O  1	0.0043782 	O  2	0.0027138 	C  1	0.0014855 	C  2	0.0007700 	N  1	0.0006171 	Fe 2	0.0005580  
-5.8 5.00000e-02	1.0000e+04	4.9331e-11	2.0753e-10	H  1	0.8030236 	He 1	0.1740354 	He 2	0.0094752 	O  1	0.0041328 	O  2	0.0029439 	C  1	0.0014130 	C  2	0.0008431 	N  1	0.0005942 	Ne 2	0.0005676  
-5.7 5.00000e-02	1.0000e+04	5.9333e-11	2.2019e-10	H  1	0.8010714 	He 1	0.1743233 	He 2	0.0109785 	O  1	0.0038915 	O  2	0.0031934 	C  1	0.0013415 	C  2	0.0009238 	Ne 2	0.0006140 	N  1	0.0005704  
-5.6 5.00000e-02	1.0000e+04	7.0991e-11	2.3234e-10	H  1	0.7988391 	He 1	0.1745593 	He 2	0.0127479 	O  1	0.0036554 	O  2	0.0034648 	C  1	0.0012716 	C  2	0.0010133 	Ne 2	0.0006639 	Fe 2	0.0005710  
-5.5 5.00000e-02	1.0000e+04	8.4455e-11	2.4368e-10	H  1	0.7962823 	He 1	0.1747231 	He 2	0.0148368 	O  2	0.0037611 	O  1	0.0034252 	C  1	0.0012035 	C  2	0.0011131 	Ne 2	0.0007176 	Fe 2	0.0005736  
-5.4  Negative coolant was Si 2 34.81 1.07e-05
-5.3  Negative coolant was Si 2 34.81 1.16e-05
-5.2  Negative coolant was Si 2 34.81 1.22e-05
-5.1  Negative coolant was Si 2 34.81 1.25e-05
-5.0  Negative coolant was Si 2 34.81 1.25e-05
-4.9  Negative coolant was Si 2 34.81 1.24e-05
-4.8  Negative coolant was Si 2 34.81 1.22e-05
-4.7  Negative coolant was Si 2 34.81 1.18e-05
-4.6  Negative coolant was Si 2 34.81 1.14e-05
-4.5  Negative coolant was Si 2 34.81 1.09e-05
-4.4  Negative coolant was Si 2 34.81 1.03e-05
-4.3 5.00000e-02	1.0000e+04	3.7985e-10	2.4785e-10	H  1	0.7065597 	He 1	0.1542892 	He 2	0.1080040 	O  2	0.0097639 	C  2	0.0040668 	O  3	0.0037369 	Ne 2	0.0016037 	 UTA	0.0012937 	Si 2	0.0012107  
-4.2 5.00000e-02	1.0000e+04	4.1114e-10	2.3962e-10	H  1	0.6895074 	He 1	0.1485233 	He 2	0.1274299 	O  2	0.0102320 	O  3	0.0047987 	C  2	0.0045153 	Ne 2	0.0016496 	 UTA	0.0015207 	Si 2	0.0013473  
-4.1 5.00000e-02	1.0000e+04	4.4337e-10	2.3149e-10	H  1	0.6701959 	He 2	0.1496309 	He 1	0.1417947 	O  2	0.0105778 	O  3	0.0061004 	C  2	0.0049735 	 UTA	0.0017968 	Ne 2	0.0016754 	Ne 3	0.0016279  
-4.0 5.00000e-02	1.0000e+04	4.7695e-10	2.2369e-10	H  1	0.6486138 	He 2	0.1745943 	He 1	0.1341064 	O  2	0.0107664 	O  3	0.0076589 	C  2	0.0054221 	 UTA	0.0021313 	Ne 3	0.0020101 	Ne 2	0.0016778  
-3.9 5.00000e-02	1.0000e+04	5.1237e-10	2.1641e-10	H  1	0.6248719 	He 2	0.2021350 	He 1	0.1255132 	O  2	0.0107704 	O  3	0.0094760 	C  2	0.0058378 	 UTA	0.0025346 	Ne 3	0.0024511 	C  3	0.0017878  
-3.8 5.00000e-02	1.0000e+04	5.5017e-10	2.0971e-10	H  1	0.5992227 	He 2	0.2318680 	He 1	0.1161297 	O  3	0.0115337 	O  2	0.0105756 	C  2	0.0061956 	 UTA	0.0030182 	Ne 3	0.0029479 	C  3	0.0023521  
-3.7 5.00000e-02	1.0000e+04	5.9087e-10	2.0363e-10	H  1	0.5720616 	He 2	0.2632020 	He 1	0.1061302 	O  3	0.0137916 	O  2	0.0101829 	C  2	0.0064718 	 UTA	0.0035943 	Ne 3	0.0034930 	C  3	0.0030514  
-3.6 5.00000e-02	1.0000e+04	6.3493e-10	1.9815e-10	H  1	0.5439054 	He 2	0.2953635 	He 1	0.0957403 	O  3	0.0161879 	O  2	0.0096097 	C  2	0.0066469 	 UTA	0.0042766 	Ne 3	0.0040744 	C  3	0.0038982  
-3.5 5.00000e-02	1.0000e+04	6.8263e-10	1.9324e-10	H  1	0.5153487 	He 2	0.3274516 	He 1	0.0852189 	O  3	0.0186424 	O  2	0.0088870 	C  2	0.0067088 	 UTA	0.0050803 	C  3	0.0048997 	Ne 3	0.0046758  
-3.4 5.00000e-02	1.0000e+04	7.3410e-10	1.8886e-10	H  1	0.4870040 	He 2	0.3585134 	He 1	0.0748345 	O  3	0.0210629 	O  2	0.0080551 	C  2	0.0066528 	C  3	0.0060569 	 UTA	0.0060235 	O  4	0.0055020  
-3.3 5.00000e-02	1.0000e+04	7.8921e-10	1.8497e-10	H  1	0.4594378 	He 2	0.3876275 	He 1	0.0648401 	O  3	0.0233522 	O  4	0.0076088 	C  3	0.0073627 	O  2	0.0071585 	 UTA	0.0071284 	C  2	0.0064822  
-3.2 5.00000e-02	1.0000e+04	8.4765e-10	1.8157e-10	H  1	0.4331160 	He 2	0.4139780 	He 1	0.0554505 	O  3	0.0254151 	O  4	0.0103373 	C  3	0.0088001 	 UTA	0.0084226 	Ne 3	0.0063750 	O  2	0.0062403  
-3.1 5.00000e-02	1.0000e+04	9.0897e-10	1.7866e-10	He 2	0.4369075 	H  1	0.4083679 	He 1	0.0468279 	O  3	0.0271640 	O  4	0.0138020 	C  3	0.0103384 	 UTA	0.0099408 	Ne 3	0.0068165 	C  2	0.0058354  
