-5.0 5.00000e-02	1.0000e+04	1.000e+07	6.853e+06	1.815e-10	2.122e-03	1.000e+00
-4.9 5.00000e-02	1.0000e+04	1.000e+07	7.285e+06	2.066e-10	2.416e-03	1.000e+00
-4.8 5.00000e-02	1.0000e+04	1.000e+07	7.707e+06	2.332e-10	2.727e-03	1.000e+00
-4.7 5.00000e-02	1.0000e+04	1.000e+07	8.112e+06	2.610e-10	3.052e-03	1.000e+00
-4.6 5.00000e-02	1.0000e+04	1.000e+07	8.497e+06	2.897e-10	3.390e-03	1.000e+00
-4.5 5.00000e-02	1.0000e+04	1.000e+07	8.857e+06	3.192e-10	3.738e-03	1.000e+00
-4.4 5.00000e-02	1.0000e+04	1.000e+07	9.188e+06	3.492e-10	4.094e-03	1.000e+00
-4.3 5.00000e-02	1.0000e+04	1.000e+07	9.490e+06	3.798e-10	4.459e-03	1.000e+00
-4.2 5.00000e-02	1.0000e+04	1.000e+07	9.761e+06	4.111e-10	4.834e-03	1.000e+00
-4.1 5.00000e-02	1.0000e+04	1.000e+07	1.000e+07	4.434e-10	5.225e-03	1.000e+00
-4.0 5.00000e-02	1.0000e+04	1.000e+07	1.022e+07	4.770e-10	5.636e-03	1.000e+00
-3.9 5.00000e-02	1.0000e+04	1.000e+07	1.041e+07	5.124e-10	6.073e-03	1.000e+00
-3.8 5.00000e-02	1.0000e+04	1.000e+07	1.058e+07	5.502e-10	6.543e-03	1.000e+00
-3.7 5.00000e-02	1.0000e+04	1.000e+07	1.073e+07	5.909e-10	7.053e-03	1.000e+00
-3.6 5.00000e-02	1.0000e+04	1.000e+07	1.086e+07	6.349e-10	7.609e-03	1.000e+00
-3.5 5.00000e-02	1.0000e+04	1.000e+07	1.099e+07	6.826e-10	8.213e-03	1.000e+00
-3.4 5.00000e-02	1.0000e+04	1.000e+07	1.110e+07	7.341e-10	8.867e-03	1.000e+00
-3.3 5.00000e-02	1.0000e+04	1.000e+07	1.120e+07	7.892e-10	9.569e-03	1.000e+00
-3.2 5.00000e-02	1.0000e+04	1.000e+07	1.130e+07	8.477e-10	1.031e-02	1.000e+00
-3.1 5.00000e-02	1.0000e+04	1.000e+07	1.139e+07	9.090e-10	1.110e-02	1.000e+00
-3.0 5.00000e-02	1.0000e+04	1.000e+07	1.147e+07	9.726e-10	1.191e-02	1.000e+00
-2.9 5.00000e-02	1.0000e+04	1.000e+07	1.155e+07	1.038e-09	1.274e-02	1.000e+00
-2.8 5.00000e-02	1.0000e+04	1.000e+07	1.162e+07	1.105e-09	1.360e-02	1.000e+00
-2.7 5.00000e-02	1.0000e+04	1.000e+07	1.168e+07	1.173e-09	1.447e-02	1.000e+00
-2.6 5.00000e-02	1.0000e+04	1.000e+07	1.173e+07	1.243e-09	1.535e-02	1.000e+00
-2.5 5.00000e-02	1.0000e+04	1.000e+07	1.178e+07	1.314e-09	1.626e-02	1.000e+00
-2.4 5.00000e-02	1.0000e+04	1.000e+07	1.182e+07	1.386e-09	1.720e-02	1.000e+00
-2.3 5.00000e-02	1.0000e+04	1.000e+07	1.186e+07	1.462e-09	1.817e-02	1.000e+00
-2.2 5.00000e-02	1.0000e+04	1.000e+07	1.189e+07	1.540e-09	1.920e-02	1.000e+00
-2.1 5.00000e-02	1.0000e+04	1.000e+07	1.191e+07	1.622e-09	2.029e-02	1.000e+00
-2.0 5.00000e-02	1.0000e+04	1.000e+07	1.193e+07	1.708e-09	2.145e-02	1.000e+00
-1.9 5.00000e-02	1.0000e+04	1.000e+07	1.195e+07	1.798e-09	2.268e-02	1.000e+00
-1.8 5.00000e-02	1.0000e+04	1.000e+07	1.197e+07	1.892e-09	2.399e-02	1.000e+00
-1.7 5.00000e-02	1.0000e+04	1.000e+07	1.198e+07	1.989e-09	2.538e-02	1.000e+00
-1.6 5.00000e-02	1.0000e+04	1.000e+07	1.199e+07	2.089e-09	2.684e-02	1.000e+00
-1.5 5.00000e-02	1.0000e+04	1.000e+07	1.200e+07	2.195e-09	2.839e-02	1.000e+00
-1.4 5.00000e-02	1.0000e+04	1.000e+07	1.201e+07	2.308e-09	3.005e-02	1.000e+00
-1.3 5.00000e-02	1.0000e+04	1.000e+07	1.202e+07	2.433e-09	3.184e-02	1.000e+00
-1.2 5.00000e-02	1.0000e+04	1.000e+07	1.202e+07	2.572e-09	3.379e-02	1.000e+00
-1.1 5.00000e-02	1.0000e+04	1.000e+07	1.203e+07	2.730e-09	3.595e-02	1.000e+00
-1.0 5.00000e-02	1.0000e+04	1.000e+07	1.203e+07	2.910e-09	3.833e-02	1.000e+00
-0.9 5.00000e-02	1.0000e+04	1.000e+07	1.203e+07	3.116e-09	4.098e-02	1.000e+00
-0.8 5.00000e-02	1.0000e+04	1.000e+07	1.204e+07	3.348e-09	4.390e-02	1.000e+00
-0.7 5.00000e-02	1.0000e+04	1.000e+07	1.204e+07	3.610e-09	4.713e-02	1.000e+00
-0.6 5.00000e-02	1.0000e+04	1.000e+07	1.204e+07	3.906e-09	5.074e-02	1.000e+00
-0.5 5.00000e-02	1.0000e+04	1.000e+07	1.205e+07	4.244e-09	5.482e-02	1.000e+00
-0.4 5.00000e-02	1.0000e+04	1.000e+07	1.205e+07	4.633e-09	5.951e-02	1.000e+00
-0.3 5.00000e-02	1.0000e+04	1.000e+07	1.205e+07	5.085e-09	6.496e-02	1.000e+00
-0.2 5.00000e-02	1.0000e+04	1.000e+07	1.205e+07	5.609e-09	7.130e-02	1.000e+00
-0.1 5.00000e-02	1.0000e+04	1.000e+07	1.206e+07	6.217e-09	7.867e-02	1.000e+00
0.0 5.00000e-02	1.0000e+04	1.000e+07	1.206e+07	6.911e-09	8.712e-02	1.000e+00
0.1 5.00000e-02	1.0000e+04	1.000e+07	1.206e+07	7.680e-09	9.650e-02	1.000e+00
0.2 5.00000e-02	1.0000e+04	1.000e+07	1.206e+07	8.445e-09	1.061e-01	1.000e+00
0.3 5.00000e-02	1.0000e+04	1.000e+07	1.207e+07	8.959e-09	1.137e-01	1.000e+00
0.4 5.00000e-02	1.0000e+04	1.000e+07	1.207e+07	8.833e-09	1.157e-01	1.000e+00
0.5 5.00000e-02	1.0000e+04	1.000e+07	1.207e+07	8.190e-09	1.132e-01	1.000e+00
0.6 5.00000e-02	1.0000e+04	1.000e+07	1.207e+07	7.718e-09	1.123e-01	1.000e+00
0.7 5.00000e-02	1.0000e+04	1.000e+07	1.207e+07	7.645e-09	1.152e-01	1.000e+00
0.8 5.00000e-02	1.0000e+04	1.000e+07	1.208e+07	7.833e-09	1.208e-01	1.000e+00
0.9 5.00000e-02	1.0000e+04	1.000e+07	1.208e+07	8.161e-09	1.281e-01	1.000e+00
