U I1 I2 I3 I4 I5 I6 I7 I8 I9
-5.4 1.77e-01 7.29e-01 9.29e-02 1.03e-03 2.27e-06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.3 1.53e-01 7.36e-01 1.09e-01 1.40e-03 3.25e-06 5.17e-08 0.00e+00 0.00e+00 0.00e+00
-5.2 1.32e-01 7.38e-01 1.28e-01 1.91e-03 4.68e-06 8.21e-08 0.00e+00 0.00e+00 0.00e+00
-5.1 1.12e-01 7.36e-01 1.50e-01 2.60e-03 6.80e-06 1.32e-07 0.00e+00 0.00e+00 0.00e+00
-5.0 9.42e-02 7.28e-01 1.75e-01 3.55e-03 9.97e-06 2.12e-07 0.00e+00 0.00e+00 0.00e+00
-4.9 7.81e-02 7.14e-01 2.03e-01 4.87e-03 1.48e-05 3.45e-07 0.00e+00 0.00e+00 0.00e+00
-4.8 6.39e-02 6.95e-01 2.35e-01 6.68e-03 2.21e-05 5.64e-07 0.00e+00 0.00e+00 0.00e+00
-4.7 5.15e-02 6.69e-01 2.70e-01 9.17e-03 3.34e-05 9.30e-07 0.00e+00 0.00e+00 0.00e+00
-4.6 4.08e-02 6.37e-01 3.09e-01 1.26e-02 5.10e-05 1.54e-06 0.00e+00 0.00e+00 0.00e+00
-4.5 3.18e-02 5.99e-01 3.52e-01 1.72e-02 7.86e-05 2.56e-06 0.00e+00 0.00e+00 0.00e+00
-4.4 2.43e-02 5.56e-01 3.96e-01 2.35e-02 1.22e-04 4.27e-06 0.00e+00 0.00e+00 0.00e+00
-4.3 1.83e-02 5.08e-01 4.41e-01 3.18e-02 1.90e-04 7.12e-06 0.00e+00 0.00e+00 0.00e+00
-4.2 1.34e-02 4.57e-01 4.86e-01 4.28e-02 2.98e-04 1.19e-05 0.00e+00 0.00e+00 0.00e+00
-4.1 9.68e-03 4.05e-01 5.28e-01 5.71e-02 4.66e-04 1.97e-05 0.00e+00 0.00e+00 0.00e+00
-4.0 6.83e-03 3.52e-01 5.65e-01 7.53e-02 7.29e-04 3.26e-05 0.00e+00 0.00e+00 0.00e+00
-3.9 4.71e-03 3.00e-01 5.96e-01 9.81e-02 1.13e-03 5.37e-05 0.00e+00 0.00e+00 0.00e+00
-3.8 3.18e-03 2.51e-01 6.18e-01 1.26e-01 1.75e-03 8.77e-05 1.08e-06 0.00e+00 0.00e+00
-3.7 2.11e-03 2.06e-01 6.30e-01 1.59e-01 2.69e-03 1.42e-04 2.09e-06 0.00e+00 0.00e+00
-3.6 1.36e-03 1.66e-01 6.30e-01 1.98e-01 4.08e-03 2.29e-04 4.00e-06 0.00e+00 0.00e+00
-3.5 8.65e-04 1.31e-01 6.20e-01 2.42e-01 6.12e-03 3.66e-04 7.58e-06 0.00e+00 0.00e+00
-3.4 5.38e-04 1.01e-01 5.97e-01 2.91e-01 9.04e-03 5.80e-04 1.42e-05 0.00e+00 0.00e+00
-3.3 3.27e-04 7.69e-02 5.65e-01 3.43e-01 1.32e-02 9.14e-04 2.65e-05 0.00e+00 0.00e+00
-3.2 1.95e-04 5.72e-02 5.25e-01 3.98e-01 1.89e-02 1.43e-03 4.87e-05 0.00e+00 0.00e+00
-3.1 1.14e-04 4.17e-02 4.77e-01 4.52e-01 2.66e-02 2.22e-03 8.86e-05 0.00e+00 0.00e+00
-3.0 6.49e-05 2.97e-02 4.26e-01 5.04e-01 3.68e-02 3.43e-03 1.60e-04 0.00e+00 0.00e+00
-2.9 3.63e-05 2.08e-02 3.72e-01 5.51e-01 5.02e-02 5.26e-03 2.85e-04 4.60e-07 0.00e+00
-2.8 1.99e-05 1.42e-02 3.19e-01 5.91e-01 6.71e-02 8.03e-03 5.04e-04 1.01e-06 0.00e+00
-2.7 1.06e-05 9.54e-03 2.68e-01 6.21e-01 8.80e-02 1.22e-02 8.84e-04 2.23e-06 0.00e+00
-2.6 5.56e-06 6.26e-03 2.20e-01 6.40e-01 1.13e-01 1.83e-02 1.54e-03 4.85e-06 0.00e+00
-2.5 2.85e-06 4.02e-03 1.77e-01 6.46e-01 1.43e-01 2.73e-02 2.66e-03 1.05e-05 0.00e+00
-2.4 1.42e-06 2.52e-03 1.39e-01 6.37e-01 1.77e-01 4.02e-02 4.56e-03 2.25e-05 0.00e+00
-2.3 6.91e-07 1.54e-03 1.07e-01 6.13e-01 2.13e-01 5.82e-02 7.74e-03 4.80e-05 0.00e+00
-2.2 3.27e-07 9.12e-04 7.96e-02 5.73e-01 2.50e-01 8.28e-02 1.30e-02 1.01e-04 0.00e+00
-2.1 1.49e-07 5.24e-04 5.75e-02 5.20e-01 2.85e-01 1.15e-01 2.13e-02 2.08e-04 0.00e+00
-2.0 6.60e-08 2.91e-04 4.01e-02 4.56e-01 3.14e-01 1.55e-01 3.44e-02 4.21e-04 1.18e-06
-1.9 2.79e-08 1.55e-04 2.68e-02 3.84e-01 3.32e-01 2.03e-01 5.38e-02 8.29e-04 2.93e-06
-1.8 1.13e-08 7.91e-05 1.72e-02 3.09e-01 3.36e-01 2.54e-01 8.15e-02 1.58e-03 7.01e-06
-1.7 4.37e-09 3.84e-05 1.05e-02 2.38e-01 3.25e-01 3.05e-01 1.19e-01 2.90e-03 1.62e-05
-1.6 1.61e-09 1.78e-05 6.12e-03 1.74e-01 2.99e-01 3.49e-01 1.67e-01 5.10e-03 3.58e-05
-1.5 5.61e-10 7.82e-06 3.39e-03 1.21e-01 2.62e-01 3.81e-01 2.24e-01 8.62e-03 7.60e-05
-1.4 1.87e-10 3.28e-06 1.79e-03 8.04e-02 2.19e-01 3.97e-01 2.88e-01 1.39e-02 1.55e-04
-1.3 5.93e-11 1.31e-06 8.99e-04 5.09e-02 1.74e-01 3.96e-01 3.56e-01 2.17e-02 3.03e-04
-1.2 1.81e-11 5.03e-07 4.34e-04 3.09e-02 1.33e-01 3.79e-01 4.23e-01 3.24e-02 5.70e-04
-1.1 5.29e-12 1.86e-07 2.02e-04 1.81e-02 9.79e-02 3.50e-01 4.86e-01 4.69e-02 1.04e-03
-1.0 1.49e-12 6.62e-08 9.04e-05 1.02e-02 6.95e-02 3.12e-01 5.41e-01 6.57e-02 1.83e-03
-0.9 4.10e-13 2.29e-08 3.93e-05 5.58e-03 4.79e-02 2.70e-01 5.84e-01 8.93e-02 3.13e-03
-0.8 1.09e-13 7.67e-09 1.66e-05 2.97e-03 3.20e-02 2.27e-01 6.15e-01 1.18e-01 5.21e-03
-0.7 2.83e-14 2.51e-09 6.82e-06 1.54e-03 2.09e-02 1.86e-01 6.31e-01 1.53e-01 8.46e-03
-0.6 7.14e-15 7.98e-10 2.74e-06 7.75e-04 1.33e-02 1.48e-01 6.32e-01 1.93e-01 1.34e-02
-0.5 1.76e-15 2.48e-10 1.07e-06 3.82e-04 8.21e-03 1.16e-01 6.18e-01 2.37e-01 2.08e-02
-0.4 4.24e-16 7.53e-11 4.09e-07 1.83e-04 4.97e-03 8.79e-02 5.90e-01 2.85e-01 3.15e-02
-0.3 9.96e-17 2.23e-11 1.52e-07 8.60e-05 2.93e-03 6.52e-02 5.51e-01 3.35e-01 4.65e-02
-0.2 2.28e-17 6.42e-12 5.52e-08 3.93e-05 1.69e-03 4.72e-02 5.01e-01 3.83e-01 6.71e-02
-0.1 5.08e-18 1.80e-12 1.95e-08 1.75e-05 9.45e-04 3.33e-02 4.44e-01 4.27e-01 9.42e-02
0.0 1.10e-18 4.93e-13 6.72e-09 7.58e-06 5.15e-04 2.28e-02 3.83e-01 4.64e-01 1.29e-01
0.1 2.33e-19 1.31e-13 2.25e-09 3.20e-06 2.73e-04 1.53e-02 3.22e-01 4.91e-01 1.71e-01
0.2 4.79e-20 3.39e-14 7.33e-10 1.31e-06 1.41e-04 9.91e-03 2.63e-01 5.05e-01 2.22e-01
0.3 9.57e-21 8.54e-15 2.32e-10 5.23e-07 7.08e-05 6.26e-03 2.09e-01 5.05e-01 2.79e-01
0.4 1.86e-21 2.09e-15 7.15e-11 2.03e-07 3.46e-05 3.85e-03 1.62e-01 4.92e-01 3.43e-01
0.5 3.53e-22 4.99e-16 2.15e-11 7.67e-08 1.65e-05 2.30e-03 1.22e-01 4.67e-01 4.09e-01
0.6 6.52e-23 1.16e-16 6.29e-12 2.83e-08 7.65e-06 1.35e-03 8.97e-02 4.32e-01 4.77e-01
0.7 1.18e-23 2.64e-17 1.80e-12 1.02e-08 3.47e-06 7.70e-04 6.45e-02 3.91e-01 5.43e-01
0.8 2.09e-24 5.89e-18 5.05e-13 3.61e-09 1.54e-06 4.31e-04 4.55e-02 3.47e-01 6.07e-01
0.9 3.63e-25 1.29e-18 1.39e-13 1.25e-09 6.75e-07 2.37e-04 3.15e-02 3.03e-01 6.66e-01
1.0 6.21e-26 2.78e-19 3.78e-14 4.28e-10 2.90e-07 1.28e-04 2.14e-02 2.59e-01 7.19e-01
1.1 1.05e-26 5.90e-20 1.01e-14 1.44e-10 1.23e-07 6.86e-05 1.44e-02 2.20e-01 7.66e-01
1.2 1.75e-27 1.24e-20 2.67e-15 4.80e-11 5.17e-08 3.62e-05 9.58e-03 1.84e-01 8.07e-01
1.3 2.89e-28 2.58e-21 7.00e-16 1.59e-11 2.15e-08 1.89e-05 6.31e-03 1.52e-01 8.41e-01
